academic_year,availability,booking_fee,building_name,currency,date_end,date_start,deposit,description,offers,rent_pm,rent_pw,rent_total,room_name,tenancy_months,tenancy_type,tenancy_weeks,url,utilities_included
2023/2024,sold out,n/a,Samuel Tuke Apartments,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1009.67,233.0,10252.0,Classic Shared Apartment,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/,n/a
2023/2024,sold out,n/a,Samuel Tuke Apartments,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1035.67,239.0,10516.0,Classic 3-4 Bed Apartment,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/,n/a
2023/2024,sold out,n/a,Samuel Tuke Apartments,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1187.33,274.0,12056.0,Classic Smaller Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/,n/a
2023/2024,sold out,n/a,Samuel Tuke Apartments,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1200.33,277.0,12188.0,Classic Smaller Studio - Cityscape View,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/,n/a
2023/2024,sold out,n/a,Samuel Tuke Apartments,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1209.0,279.0,12276.0,Classic Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/,n/a
2023/2024,sold out,n/a,Samuel Tuke Apartments,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1230.67,284.0,12496.0,Classic Studio - Cityscape View,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/,n/a
2023/2024,sold out,n/a,Samuel Tuke Apartments,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1256.67,290.0,12760.0,Classic Bigger Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/,n/a
2023/2024,sold out,n/a,Samuel Tuke Apartments,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1278.33,295.0,12980.0,Classic Bigger Studio - Cityscape View,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/,n/a
2023/2024,sold out,n/a,Saxon Court,GBP,30/08/24,28/10/23,n/a,n/a,n/a,862.33,199.0,8756.0,Classic Smaller Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/reading/saxon-court/,n/a
2023/2024,sold out,n/a,Saxon Court,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1096.33,253.0,11132.0,Classic Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/reading/saxon-court/,n/a
2023/2024,sold out,n/a,Saxon Court,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1096.33,253.0,11132.0,Classic Studio - Churchyard View,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/reading/saxon-court/,n/a
2023/2024,sold out,n/a,Saxon Court,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1217.67,281.0,12364.0,Classic Studio - Outdoor Space,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/reading/saxon-court/,n/a
2023/2024,sold out,n/a,Saxon Court,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1217.67,281.0,12364.0,"Classic Studio - Outdoor Space, Churchyard View",10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/reading/saxon-court/,n/a
2023/2024,sold out,n/a,Saxon Court,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1282.67,296.0,13024.0,Classic Bigger Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/reading/saxon-court/,n/a
2023/2024,sold out,n/a,Saxon Court,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1438.67,332.0,14608.0,Classic Bigger Studio - Outdoor Space,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/reading/saxon-court/,n/a
2023/2024,available,n/a,Bath Street,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1139.67,263.0,11309.0,Classic Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/333-bath-street/,n/a
2023/2024,sold out,n/a,Bath Street,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1187.33,274.0,11782.0,Classic Studio - Park View,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/333-bath-street/,n/a
2023/2024,sold out,n/a,Willowbank,GBP,23/08/24,28/10/23,n/a,n/a,n/a,897.0,207.0,8901.0,Classic Shared Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/willowbank/,n/a
2023/2024,available,n/a,Willowbank,GBP,23/08/24,28/10/23,n/a,n/a,n/a,983.67,227.0,9761.0,Classic 3-4 Bed Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/willowbank/,n/a
2023/2024,sold out,n/a,Willowbank,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1031.33,238.0,10234.0,Classic 2 Bed Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/willowbank/,n/a
2023/2024,sold out,n/a,Willowbank,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1109.33,256.0,11008.0,Classic Smaller Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/willowbank/,n/a
2023/2024,available,n/a,Willowbank,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1161.33,268.0,11524.0,Classic Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/willowbank/,n/a
